5.193900E+00	3.948543E+00	3.694820E-02
5.223500E+00	3.847762E+00	2.269930E-02
5.253100E+00	3.796657E+00	4.534870E-02
5.282600E+00	3.778524E+00	9.123740E-03
5.312200E+00	3.752971E+00	9.383720E-03
5.341800E+00	3.688410E+00	5.313450E-04
5.371400E+00	3.596162E+00	2.133100E-02
5.400900E+00	3.547971E+00	7.117030E-03
5.430500E+00	3.487648E+00	1.536520E-02
5.460100E+00	3.395762E+00	1.655630E-02
5.489600E+00	3.348876E+00	4.355310E-02
5.519200E+00	3.298371E+00	4.762180E-02
5.548800E+00	3.256029E+00	4.915380E-02
5.578400E+00	3.219486E+00	6.034500E-02
5.608000E+00	3.196838E+00	5.841580E-02
5.637500E+00	3.222914E+00	7.222150E-02
5.667100E+00	3.190143E+00	2.424520E-02
5.696700E+00	3.181438E+00	3.758460E-02
5.726300E+00	3.183676E+00	9.667230E-03
5.755800E+00	3.174524E+00	1.950910E-02
5.785400E+00	3.152657E+00	6.334710E-03
5.815000E+00	3.150733E+00	1.237120E-02
5.844500E+00	3.126190E+00	4.189930E-03
5.874100E+00	3.114543E+00	2.959880E-02
5.903700E+00	2.993286E+00	4.564380E-02
5.933300E+00	3.031295E+00	1.886860E-02
5.962800E+00	2.966590E+00	5.640150E-03
5.992400E+00	2.967571E+00	1.780160E-02
6.022000E+00	2.924267E+00	2.182110E-02
6.051500E+00	2.885162E+00	2.248760E-02
6.081100E+00	2.831048E+00	9.557580E-03
6.110700E+00	2.809324E+00	4.844320E-03
6.140300E+00	2.795629E+00	8.876040E-03
6.169800E+00	2.773257E+00	4.333130E-03
6.199400E+00	2.746657E+00	2.842730E-03
6.229000E+00	2.697295E+00	5.450390E-03
6.258600E+00	2.672886E+00	1.856770E-03
6.288100E+00	2.599533E+00	5.756560E-04
6.317700E+00	2.630962E+00	1.685220E-02
6.347300E+00	2.594114E+00	6.124430E-03
6.376900E+00	2.580552E+00	1.211980E-02
6.406400E+00	2.566057E+00	5.009920E-03
6.436000E+00	2.555819E+00	1.260140E-02
6.465600E+00	2.527667E+00	1.382040E-02
6.495200E+00	2.503486E+00	2.033690E-02
6.524700E+00	2.495390E+00	1.597280E-02
6.554300E+00	2.478267E+00	6.788460E-03
6.583900E+00	2.457133E+00	5.534510E-03
6.613500E+00	2.426086E+00	8.873780E-03
6.643000E+00	2.407543E+00	1.024390E-02
6.672600E+00	2.393352E+00	1.161520E-02
6.702200E+00	2.367067E+00	7.985700E-03
6.731800E+00	2.348638E+00	8.784420E-04
6.761300E+00	2.283543E+00	6.392420E-04
6.790900E+00	2.307019E+00	7.535220E-03
6.820500E+00	2.304810E+00	1.143230E-02
6.850000E+00	2.289038E+00	1.053110E-02
6.879600E+00	2.281543E+00	1.630840E-03
6.909200E+00	2.236810E+00	6.068980E-03
6.938800E+00	2.237410E+00	1.191510E-02
6.968300E+00	2.218714E+00	1.245510E-02
6.997900E+00	2.210181E+00	9.191090E-03
7.027500E+00	2.174648E+00	5.233720E-03
7.057100E+00	2.168286E+00	6.658530E-03
7.086600E+00	2.152257E+00	3.000940E-03
7.116200E+00	2.129248E+00	4.120840E-03
7.145800E+00	2.119638E+00	1.206070E-02
7.175400E+00	2.095362E+00	1.933860E-02
7.204900E+00	2.085848E+00	2.662920E-02
7.234500E+00	2.050800E+00	6.540120E-04
7.264100E+00	2.029067E+00	7.353970E-03
7.293600E+00	2.020000E+00	6.080750E-03
7.323200E+00	1.981610E+00	5.789100E-04
7.352800E+00	1.974190E+00	1.822690E-02
7.382900E+00	1.964676E+00	2.108150E-02
7.413100E+00	1.947600E+00	3.274620E-03
7.443400E+00	1.908590E+00	4.315350E-03
7.473600E+00	1.905448E+00	2.580940E-02
7.503900E+00	1.859990E+00	1.489460E-03
7.534100E+00	1.915276E+00	1.049480E-02
7.564400E+00	1.906543E+00	3.281740E-02
7.594600E+00	1.876286E+00	1.100370E-03
7.624800E+00	1.873200E+00	5.788960E-02
7.685300E+00	1.849076E+00	5.465130E-02
7.745800E+00	1.807324E+00	4.732670E-02
7.806300E+00	1.756648E+00	4.034190E-02
7.866800E+00	1.722314E+00	2.854060E-02
7.927300E+00	1.715714E+00	4.302100E-02
7.987800E+00	1.695886E+00	3.630030E-02
8.048200E+00	1.664152E+00	2.343690E-02
8.108700E+00	1.629200E+00	2.048030E-02
8.169200E+00	1.604886E+00	2.286300E-02
8.229700E+00	1.597314E+00	2.146910E-02
8.290200E+00	1.571276E+00	2.497490E-02
8.350600E+00	1.546924E+00	2.489450E-02
8.411100E+00	1.533562E+00	2.130530E-02
8.471600E+00	1.488476E+00	1.585820E-02
8.532100E+00	1.474362E+00	2.153510E-02
8.592600E+00	1.456267E+00	2.940790E-02
8.653100E+00	1.419048E+00	4.240750E-03
8.713500E+00	1.411324E+00	7.277010E-03
8.774000E+00	1.375448E+00	6.325480E-03
8.834500E+00	1.357867E+00	4.613280E-03
8.895000E+00	1.324276E+00	1.206560E-02
8.955500E+00	1.302581E+00	2.589990E-02
9.016000E+00	1.294924E+00	7.491830E-03
9.076500E+00	1.292124E+00	9.936930E-03
9.136900E+00	1.275800E+00	2.824660E-03
9.197400E+00	1.274171E+00	1.755650E-03
9.257900E+00	1.253133E+00	2.599600E-03
9.318400E+00	1.234933E+00	3.986950E-04
9.378900E+00	1.202619E+00	3.372430E-03
9.439400E+00	1.208790E+00	7.988040E-03
9.499800E+00	1.212886E+00	1.478360E-02
9.560300E+00	1.197400E+00	2.385860E-02
9.620800E+00	1.181971E+00	2.071890E-02
