0.00909	0
0.00935	0
0.00961	0
0.00977	0
0.00996	0
0.0102	0
0.01038	0
0.01056	0
0.01077	0
0.01104	0
0.0114	0
0.01178	0
0.01213	0
0.01248	0
0.01271	0
0.01284	0
0.01305	0
0.01324	0
0.01339	0
0.01366	0
0.01398	0
0.01433	0
0.01472	0
0.0151	0
0.01552	0
0.01588	0
0.0162	0
0.0166	0
0.01703	0
0.01734	0
0.01768	0
0.01802	0
0.01817	0
0.01861	0
0.0191	0
0.01939	0
0.01984	0
0.02018	0
0.0205	0
0.02105	0
0.02162	0
0.02198	0
0.0223	0
0.02268	0
0.023	0
0.0234	0
0.024	0
0.02465	0
0.02524	0
0.02568	0
0.026	0
0.0264	0
0.02685	0
0.02735	0
0.02785	0
0.0284	0
0.029	0
0.0296	0
0.0301	0
0.0308	0
0.0318	0
0.0328	0
0.0338	0
0.0348	0
0.0357	0
0.0366	0
0.0375	0
0.0385	0
0.0395	0
0.0405	0
0.0414	0
0.0422	0
0.043	0
0.0441	0
0.0451	3.4358e-32
0.046	1.5228e-31
0.047	7.4278e-31
0.048	3.3799e-30
0.049	1.4434e-29
0.05	5.7941e-29
0.0506	1.7254e-28
0.0512	4.2519e-28
0.052	1.1748e-27
0.053	4.0263e-27
0.054	1.2955e-26
0.055	4.0336e-26
0.056	1.1971e-25
0.057	3.41e-25
0.058	9.254e-25
0.059	2.4756e-24
0.06	6.3265e-24
0.061	1.566e-23
0.062	3.7545e-23
0.063	8.7465e-23
0.064	1.982e-22
0.065	4.3713e-22
0.0658	8.0818e-22
0.0665	1.3643e-21
0.0675	2.8305e-21
0.0685	5.7441e-21
0.0695	1.1389e-20
0.0705	2.2059e-20
0.0716	4.4898e-20
0.0726	8.3767e-20
0.0735	1.4452e-19
0.0745	2.6053e-19
0.0755	4.6191e-19
0.0765	8.0659e-19
0.0775	1.3853e-18
0.0785	2.3471e-18
0.0795	3.8845e-18
0.0805	6.4262e-18
0.0815	1.047e-17
0.0825	1.6791e-17
0.0835	2.6615e-17
0.0845	4.1684e-17
0.0855	6.4548e-17
0.0865	9.8862e-17
0.0875	1.4949e-16
0.0885	2.246e-16
0.0895	3.3352e-16
0.0905	4.9046e-16
0.0915	4.0871e-13
0.0925	1.4669e-12
0.0935	2.1576e-12
0.0945	3.1771e-12
0.0955	4.833e-12
0.0965	7.0312e-12
0.0975	9.9951e-12
0.0985	1.4206e-11
0.0995	1.9978e-11
0.1005	2.885e-11
0.1015	4.0086e-11
0.1025	5.4262e-11
0.1035	7.6662e-11
0.1045	1.0493e-10
0.1055	1.4207e-10
0.1065	1.917e-10
0.1075	2.5866e-10
0.1085	3.466e-10
0.1095	4.5792e-10
0.1105	1.3545e-09
0.1115	4.0329e-09
0.1125	6.0213e-09
0.1135	9.0555e-09
0.1145	1.1981e-08
0.1155	1.4089e-08
0.1165	1.9314e-08
0.1175	2.474e-08
0.1185	2.7916e-08
0.1195	2.2389e-08
0.1205	2.3877e-08
0.1215	8.9848e-09
0.1225	3.1836e-08
0.1235	6.4488e-08
0.1245	9.3225e-08
