0.1  1.836770536838715e-21
0.100344337822732048.480322616245255e-21
0.100689861330825722.6824303006626097e-22
0.10103657460704422.0111587196675098e-21
0.101384481748209092.2745687910667854e-23
0.101733586865249042.1766725571025215e-22
0.102083894083248042.776312467247845e-19
0.102435407541494384.6885653040611263e-23
0.102788131393529459.029330359915151e-20
0.103142069807196884.669300555475527e-19
0.103497226964691741.1198284807102532e-19
0.103853607062614.217527674438153e-19
0.104211214311998051.5345942028618771e-21
0.10457005293840267.244866131690571e-21
0.104930127181920441.1835234149129196e-20
0.105291441297248638.037748450451679e-19
0.105653999553734755.228718693902334e-19
0.106017806235427392.2793624347119073e-19
0.106382865641126742.9245592169752235e-20
0.106749182084435351.2029041518890515e-21
0.107116759893809131.2100311116318678e-19
0.107485603412608571.374583157634635e-17
0.107855716999149954.4263192473338096e-21
0.108227105026756852.4677589593823294e-18
0.10859977188381191.6523599604680303e-20
0.108973721973808574.3229721106348375e-18
0.109348959715403265.345000071345095e-19
0.109725489542467373.3427975076264303e-20
0.110103315904139984.04928116465159e-18
0.110482443264880081.2119439052147724e-17
0.110862876104519531.1857364167802146e-19
0.111244618918315943.8227289790791193e-19
0.111627676217005835.603473967460934e-19
0.112012052526857841.1098565524745005e-17
0.112397752389726284.2381610511004705e-18
0.112784780363104812.8703285706204667e-17
0.113173141020180211.7180546367337026e-17
0.113562838949886566.728142573944069e-18
0.11395387875695931.8180380299071744e-19
0.114346265061989721.2561034868257832e-16
0.114740002501479574.80792316363601e-19
0.115135095727895866.19266685669175e-18
0.115531549409725751.5931440788290494e-16
0.115929368231531769.771472553352847e-19
0.116328556894007221.3620786539974407e-17
0.116729120114031651.4039581378646143e-17
0.117131062624726576.875970290770762e-17
0.117534389175511462.1135513502340675e-18
0.11793910453215984.2718546598267616e-17
0.118345213476855521.9405243450595064e-16
0.118752720808249298.064366365054197e-17
0.119161631341515446.872660809683726e-17
0.11957194990840882.4748052786908e-16
0.119983681357321674.805652313700784e-16
0.120396830553341222.877400800921415e-16
0.120811402378306971.7388789528573438e-16
0.121227401730868482.095805914913193e-17
0.121644833526543168.79932187421684e-18
0.122063702697774452.7276868672439234e-16
0.122484014193990084.661845515681521e-16
0.122905772981660463.374016453384402e-16
0.123328984044357493.311976024009935e-15
0.123753652382813382.675690279327971e-16
0.124179783014979735.110900743301807e-15
0.124607380976086884.684384073524614e-15
0.125036451318703361.6258981964996158e-14
0.12546699911279561.1426897571616876e-14
0.12589902944578781.213545872778862e-14
0.126332547422622182.0318563695592327e-14
0.126767558165819173.546716265752068e-14
0.127204066815537922.36528071776757e-15
0.127642078529637134.702251987634492e-14
0.128081598483736011.5408301704350685e-14
0.12852263187127531.0641284508370931e-14
0.128965183903578727.028209216693629e-14
0.12940925980991475.495192403845943e-14
0.12985486483755789.459601313787134e-15
0.130302004251851071.610165453205327e-13
0.13075068333626811.6447825977314042e-13
0.131200907392475471.1802128236995519e-13
0.13165268174039543.1319637758651037e-14
0.13210601171826861.5404445431761144e-13
